time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-15 00:00:00+00:00,9.4,1.2,4.4999995,4.1000004,0.0,9.0,28044.08,57522.387,16.954432,38.16
2025-05-16 00:00:00+00:00,9.95,5.15,8.6,8.6,0.0,11.0,16597.885,57721.55,20.674158,42.12
2025-05-17 00:00:00+00:00,9.0,3.95,8.799999,8.799999,0.0,7.0,9138.463,57917.586,16.434305,36.36
2025-05-18 00:00:00+00:00,9.05,7.05,16.8,16.8,0.0,21.0,0.0,58110.26,14.917212,29.88
2025-05-19 00:00:00+00:00,13.55,6.3,3.8999999,3.8999999,0.0,9.0,24282.016,58299.31,15.158522,39.239998
2025-05-20 00:00:00+00:00,18.55,5.4,0.0,0.0,0.0,0.0,53600.2,58484.47,16.267857,41.399998
2025-05-21 00:00:00+00:00,20.377998,7.9,0.0,0.0,0.0,0.0,54020.41,58665.49,14.417988,37.079998
2025-05-22 00:00:00+00:00,13.478,5.828,0.0,0.0,0.0,0.0,51641.133,58842.08,15.94601,39.6
2025-05-23 00:00:00+00:00,15.411,4.778,0.0,0.0,0.0,0.0,48565.125,59013.98,14.471821,32.760002
