time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-16 00:00:00+00:00,10.6,5.35,9.0,9.0,0.0,9.0,28259.354,57721.55,20.969807,40.68
2025-05-17 00:00:00+00:00,9.4,3.8,12.0,11.099999,0.0,14.0,5392.321,57917.586,23.4,49.32
2025-05-18 00:00:00+00:00,10.55,7.4,6.3,5.9999995,0.0,16.0,0.0,58110.26,10.691453,28.08
2025-05-19 00:00:00+00:00,16.1,5.6,0.3,0.3,0.0,3.0,32319.979,58299.31,15.725037,41.760002
2025-05-20 00:00:00+00:00,19.828,4.15,0.0,0.0,0.0,0.0,53903.02,58484.47,14.113652,34.56
2025-05-21 00:00:00+00:00,20.278,7.6280003,0.0,0.0,0.0,0.0,54062.523,58665.49,15.034041,37.079998
2025-05-22 00:00:00+00:00,10.878,3.328,0.0,0.0,0.0,0.0,40015.895,58842.08,16.394829,41.399998
