time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-15 00:00:00+00:00,9.1495,4.1495,8.1,7.9,0.0,11.0,29056.877,57798.875,19.406637,48.96
2025-05-16 00:00:00+00:00,8.9495,5.9995,12.299999,12.299999,0.0,11.0,24156.107,58002.773,26.341572,55.8
2025-05-17 00:00:00+00:00,9.2495,6.6495,9.1,9.1,0.0,8.0,15300.078,58203.527,19.443333,40.32
2025-05-18 00:00:00+00:00,9.3495,8.0995,39.6,39.6,0.0,22.0,0.0,58400.863,19.296133,43.92
2025-05-19 00:00:00+00:00,11.8495,8.0995,11.300001,11.300001,0.0,10.0,26691.193,58594.54,19.296133,50.039997
2025-05-20 00:00:00+00:00,18.0495,7.8494997,0.0,0.0,0.0,0.0,51251.45,58784.266,16.78156,47.16
2025-05-21 00:00:00+00:00,20.2555,8.6495,0.0,0.0,0.0,0.0,52744.39,58969.78,15.517629,39.6
2025-05-22 00:00:00+00:00,12.4055,7.6055,0.0,0.0,0.0,0.0,52226.895,59150.8,15.7908325,39.96
2025-05-23 00:00:00+00:00,11.686,5.6359997,0.0,0.0,0.0,0.0,51400.695,59327.05,16.946787,35.28
