time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-15 00:00:00+00:00,9.563,0.41300002,6.5,6.4,0.0,10.0,30535.152,57499.707,17.555305,39.96
2025-05-16 00:00:00+00:00,10.212999,5.713,8.400001,8.400001,0.0,11.0,14613.82,57698.48,19.346441,43.56
2025-05-17 00:00:00+00:00,9.363,4.113,8.4,8.2,0.0,9.0,4527.001,57894.137,18.671474,38.88
2025-05-18 00:00:00+00:00,9.052,7.013,16.3,16.3,0.0,21.0,0.0,58086.426,15.542662,32.399998
2025-05-19 00:00:00+00:00,13.702,6.352,3.6999998,3.6999998,0.0,9.0,23753.006,58275.1,15.137133,39.6
2025-05-20 00:00:00+00:00,18.602,5.502,0.0,0.0,0.0,0.0,53621.973,58459.887,16.42247,41.760002
2025-05-21 00:00:00+00:00,20.417,7.952,0.0,0.0,0.0,0.0,54043.13,58640.543,13.679999,37.44
2025-05-22 00:00:00+00:00,14.066999,5.767,0.0,0.0,0.0,0.0,51557.242,58816.77,14.386494,38.16
2025-05-23 00:00:00+00:00,15.464999,4.9170003,0.0,0.0,0.0,0.0,51612.438,58988.316,15.03835,32.399998
