time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-15 00:00:00+00:00,9.4825,0.73249996,4.2999997,4.2999997,0.0,13.0,29865.357,57556.508,19.164719,36.719997
2025-05-16 00:00:00+00:00,9.7825,4.9325,6.5000005,6.5000005,0.0,11.0,20347.672,57756.254,23.576563,42.48
2025-05-17 00:00:00+00:00,8.7325,4.1825,11.2,11.1,0.0,8.0,5452.5293,57952.867,18.11841,34.56
2025-05-18 00:00:00+00:00,9.252,7.2324996,16.500002,16.500002,0.0,21.0,0.0,58146.11,16.215992,28.8
2025-05-19 00:00:00+00:00,13.502,6.602,4.3,4.2,0.0,9.0,25339.443,58335.727,18.391735,39.239998
2025-05-20 00:00:00+00:00,18.352,6.202,0.0,0.0,0.0,0.0,53647.242,58521.445,18.720001,39.6
2025-05-21 00:00:00+00:00,20.5695,8.102,0.0,0.0,0.0,0.0,52471.914,58703.02,14.4,36.0
2025-05-22 00:00:00+00:00,13.3195,5.6695,0.0,0.0,0.0,0.0,50698.438,58880.16,16.263872,40.32
2025-05-23 00:00:00+00:00,13.928,4.8694997,0.0,0.0,0.0,0.0,47419.81,59052.586,14.48972,30.599998
