time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-16 00:00:00+00:00,9.7495,6.6995,15.200001,15.200001,0.0,8.0,30671.084,58002.773,21.746504,60.479996
2025-05-17 00:00:00+00:00,9.8995,5.9495,7.2999997,6.1,0.0,11.0,11292.569,58203.527,18.218275,52.92
2025-05-18 00:00:00+00:00,11.5494995,8.5995,8.1,7.2999997,0.0,15.0,246.35376,58400.863,16.039202,42.12
2025-05-19 00:00:00+00:00,12.4995,8.1995,0.9000001,0.6,0.0,6.0,35986.38,58594.54,18.089775,48.6
2025-05-20 00:00:00+00:00,20.1555,7.8494997,0.0,0.0,0.0,0.0,52462.51,58784.266,15.629971,39.6
2025-05-21 00:00:00+00:00,20.0055,8.3555,0.0,0.0,0.0,0.0,52626.848,58969.78,17.551615,43.92
2025-05-22 00:00:00+00:00,10.1055,6.4555,0.0,0.0,0.0,0.0,41962.86,59150.8,19.245697,48.239998
