time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-15 00:00:00+00:00,9.315499,1.3655001,4.6000004,4.2999997,0.0,12.0,30374.695,57533.75,18.64369,39.239998
2025-05-16 00:00:00+00:00,9.7155,4.9655004,7.600001,7.600001,0.0,10.0,18416.441,57733.105,22.42427,43.56
2025-05-17 00:00:00+00:00,8.7155,3.8655,9.4,9.1,0.0,8.0,6554.3228,57929.336,18.532133,36.36
2025-05-18 00:00:00+00:00,8.959001,6.9655004,16.5,16.5,0.0,21.0,0.0,58122.2,15.84409,29.88
2025-05-19 00:00:00+00:00,13.459001,6.209,3.8999999,3.8999999,0.0,9.0,24282.016,58311.434,15.158522,39.239998
2025-05-20 00:00:00+00:00,18.459,5.309,0.0,0.0,0.0,0.0,53600.2,58496.785,16.267857,41.399998
2025-05-21 00:00:00+00:00,20.286999,7.809,0.0,0.0,0.0,0.0,54020.41,58677.984,14.417988,37.079998
2025-05-22 00:00:00+00:00,13.387,5.737,0.0,0.0,0.0,0.0,51641.133,58854.76,15.94601,39.6
2025-05-23 00:00:00+00:00,14.585,4.687,0.0,0.0,0.0,0.0,48663.246,59026.83,12.413476,32.760002
